"filename", "language", "JavaScript", "Markdown", "PHP", "PostCSS", "Vue", "YAML", "JSON", "XML", "JSON with Comments", "comment", "blank", "total"
"c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\TrustProxies.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 5, 29
"c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\ValidateSignature.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 11, 4, 23
"c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\laravel\EMS\app\Http\Requests\Auth\LoginRequest.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 0, 0, 21, 14, 86
"c:\xampp\htdocs\laravel\EMS\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 4, 24
"c:\xampp\htdocs\laravel\EMS\app\Http\Requests\StoreInventoryPlanRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 9, 5, 29
"c:\xampp\htdocs\laravel\EMS\app\Http\Requests\StoreItemRequest.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 22, 5, 50
"c:\xampp\htdocs\laravel\EMS\app\Http\Requests\StoreWishRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 9, 5, 29
"c:\xampp\htdocs\laravel\EMS\app\Http\Requests\UpdateInventoryPlanRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 9, 5, 29
"c:\xampp\htdocs\laravel\EMS\app\Http\Requests\UpdateItemRequest.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 22, 5, 50
"c:\xampp\htdocs\laravel\EMS\app\Http\Requests\UpdateWishRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 9, 5, 29
"c:\xampp\htdocs\laravel\EMS\app\Http\Requests\UploadImageRequest.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 10, 6, 40
"c:\xampp\htdocs\laravel\EMS\app\Listeners\LowStockDetectListener.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 16, 9, 47
"c:\xampp\htdocs\laravel\EMS\app\Models\Category.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\xampp\htdocs\laravel\EMS\app\Models\Edithistory.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 9, 47
"c:\xampp\htdocs\laravel\EMS\app\Models\ImageTest.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\xampp\htdocs\laravel\EMS\app\Models\Inspection.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\laravel\EMS\app\Models\InventoryPlan.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\laravel\EMS\app\Models\Item.php", "PHP", 0, 0, 68, 0, 0, 0, 0, 0, 0, 5, 17, 90
"c:\xampp\htdocs\laravel\EMS\app\Models\Location.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\xampp\htdocs\laravel\EMS\app\Models\User.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 16, 7, 46
"c:\xampp\htdocs\laravel\EMS\app\Models\Wish.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\xampp\htdocs\laravel\EMS\app\Notifications\LowStockNotification.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 0, 0, 17, 9, 56
"c:\xampp\htdocs\laravel\EMS\app\Observers\ItemObserver.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 0, 0, 30, 16, 97
